CMake File,Target,Dependencies
.\runtime\native\CMakeLists.txt,fusionrt,"ws2_32, pthread"
.\v2.0 Vortex\CMakeLists.txt,hypercycle_pqc,"OpenSSL::Crypto, dl, m, pthread, winpthread"
.\v2.0 Vortex\CMakeLists.txt,vortex_dashboard,"hypercycle_pqc, OpenSSL::Crypto, m, pthread, winpthread"
.\v2.0 Vortex\CMakeLists.txt,secure_dashboard,"hypercycle_pqc, OpenSSL::Crypto, m, pthread, winpthread"
.\v2.0 Vortex\CMakeLists.txt,hc_cuda,CUDA::cudart
.\v2.0 Vortex\CMakeLists.txt,hc_rocm,HIP::hip_runtime
.\v2.0 Vortex\CMakeLists.txt,hypercycle_vortex_objs,
.\v2.0 Vortex\CMakeLists.txt,${test_name},hypercycle_pqc
.\vcpkg\ports\7zip\CMakeLists.txt,7zip,
.\vcpkg\ports\alac\CMakeLists.txt,libalac,
.\vcpkg\ports\alac\CMakeLists.txt,alacconvert,libalac
.\vcpkg\ports\alac-decoder\CMakeLists.txt,libalac_decoder,
.\vcpkg\ports\alac-decoder\CMakeLists.txt,alac_decoder,libalac_decoder
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,ANGLEFramework,ANGLE
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,ANGLE,"ZLIB::ZLIB, ${CMAKE_DL_LIBS}, ${CMAKE_DL_LIBS}"
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,GLESv2,"${ANGLEGLESv2_LIBRARIES}, ${CMAKE_DL_LIBS}"
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,GLESv2Framework,GLESv2
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,ANGLE::GLES,
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,EGL,"GLESv2, ${CMAKE_DL_LIBS}"
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,EGLFramework,EGL
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,ANGLE::EGL,
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,ANGLE,"ZLIB::ZLIB, ${CMAKE_DL_LIBS}, ${CMAKE_DL_LIBS}"
.\vcpkg\ports\angle\cmake-buildsystem\CMakeLists.txt,ANGLE::ANGLE,
.\vcpkg\ports\argon2\CMakeLists.txt,libargon2,Threads::Threads
.\vcpkg\ports\argon2\CMakeLists.txt,argon2,libargon2
.\vcpkg\ports\asio\CMakeLists.txt,asio,Threads::Threads
.\vcpkg\ports\aubio\CMakeLists.txt,aubio,"SndFile::sndfile, ${FFMPEG_LIBRARIES}, BZip2::BZip2, ${LIBLZMA_LIBRARIES}, ws2_32"
.\vcpkg\ports\aubio\CMakeLists.txt,${EXAMPLE_EXEC},"aubio, ws2_32"
.\vcpkg\ports\autodock-vina\CMakeLists.txt,vina,"Boost::boost, Boost::filesystem, Boost::log, Boost::program_options, Boost::random, Boost::serialization, Boost::thread, Boost::timer"
.\vcpkg\ports\autodock-vina\CMakeLists.txt,vina_split,"Boost::boost, Boost::filesystem, Boost::log, Boost::program_options, Boost::random, Boost::serialization, Boost::thread, Boost::timer"
.\vcpkg\ports\b64\CMakeLists.txt,b64,
.\vcpkg\ports\berkeleydb\CMakeLists.txt,libdb48,ws2_32.lib
.\vcpkg\ports\bigint\CMakeLists.txt,bigint,
.\vcpkg\ports\binn\CMakeLists.txt,binn,
.\vcpkg\ports\boinc\CMakeLists.txt,boinc,"OpenSSL::SSL, OpenSSL::Crypto"
.\vcpkg\ports\boinc\CMakeLists.txt,boincapi,boinc
.\vcpkg\ports\boinc\CMakeLists.txt,boinc_zip,libzip::zip
.\vcpkg\ports\breakpad\CMakeLists.txt,libbreakpad,${LIBDISASM_LIB}
.\vcpkg\ports\breakpad\CMakeLists.txt,libbreakpad_client,"wininet.lib, ${CoreFoundation_FRAMEWORK}, ${PTHREAD_LIBRARIES}, ZLIB::ZLIB"
.\vcpkg\ports\breakpad\CMakeLists.txt,microdump_stackwalk,"libbreakpad, libbreakpad_client"
.\vcpkg\ports\breakpad\CMakeLists.txt,minidump_dump,"libbreakpad, libbreakpad_client"
.\vcpkg\ports\breakpad\CMakeLists.txt,minidump_stackwalk,"libbreakpad, libbreakpad_client"
.\vcpkg\ports\breakpad\CMakeLists.txt,core2md,libbreakpad_client
.\vcpkg\ports\breakpad\CMakeLists.txt,pid2md,libbreakpad_client
.\vcpkg\ports\breakpad\CMakeLists.txt,dump_syms,libbreakpad_client
.\vcpkg\ports\breakpad\CMakeLists.txt,minidump-2-core,libbreakpad_client
.\vcpkg\ports\breakpad\CMakeLists.txt,minidump_upload,"libbreakpad_client, ${CMAKE_DL_LIBS}"
.\vcpkg\ports\breakpad\CMakeLists.txt,sym_upload,"libbreakpad_client, ${CMAKE_DL_LIBS}"
.\vcpkg\ports\breakpad\CMakeLists.txt,core_handler,libbreakpad_client
.\vcpkg\ports\butteraugli\CMakeLists.txt,butteraugli_lib,
.\vcpkg\ports\butteraugli\CMakeLists.txt,butteraugli,"butteraugli_lib, ${JPEG_LIBRARIES}, ${TURBO}, ${PNG_LIBRARIES}"
.\vcpkg\ports\bzip2\CMakeLists.txt,bz2,
.\vcpkg\ports\bzip2\CMakeLists.txt,bzip2,
.\vcpkg\ports\bzip2\CMakeLists.txt,bzip2recover,
.\vcpkg\ports\cello\CMakeLists.txt,cello,
.\vcpkg\ports\cgicc\CMakeLists.txt,cgicc,
.\vcpkg\ports\chmlib\CMakeLists.txt,chm,
.\vcpkg\ports\chmlib\CMakeLists.txt,enum_chmLib,
.\vcpkg\ports\chmlib\CMakeLists.txt,enumdir_chmLib,
.\vcpkg\ports\chmlib\CMakeLists.txt,extract_chmLib,
.\vcpkg\ports\cimg\CMakeLists.txt,${PROJECT_NAME},
.\vcpkg\ports\cityhash\CMakeLists.txt,cityhash,
.\vcpkg\ports\clue\CMakeLists.txt,test_clue,
.\vcpkg\ports\convectionkernels\CMakeLists.txt,${PROJECT_NAME},
.\vcpkg\ports\cpp-exiftool\CMakeLists.txt,cpp-exiftool,
.\vcpkg\ports\cpp-redis\tacopie\CMakeLists.txt,tacopie,"""${TACOPIE}"""
.\vcpkg\ports\cppcoro\CMakeLists.txt,cppcoro,"c++, pthread, kernel32, synchronization, ws2_32, mswsock, #, msvcrt[d], msvcprt[d], vcruntime, ucrt, c++, #, stdc++, #, expect, libc++, instead, of, libstdc++"
.\vcpkg\ports\cppcoro\CMakeLists.txt,cppcoro_test,"cppcoro, Threads::Threads, doctest::doctest"
.\vcpkg\ports\cppunit\CMakeLists.txt,cppunit,
.\vcpkg\ports\cppunit\CMakeLists.txt,cppunit,
.\vcpkg\ports\cppunit\CMakeLists.txt,DllPlugInTester,cppunit
.\vcpkg\ports\crfsuite\CMakeLists.txt,cqdb,
.\vcpkg\ports\crfsuite\CMakeLists.txt,crf,"cqdb, ${LBFGS_LIBRARY}"
.\vcpkg\ports\crfsuite\CMakeLists.txt,crfsuite,crf
.\vcpkg\ports\crfsuite\CMakeLists.txt,frontend,crf
.\vcpkg\ports\cspice\CMakeLists.txt,cspice,
.\vcpkg\ports\ctemplate\CMakeLists.txt,libctemplate,
.\vcpkg\ports\cunit\CMakeLists.txt,cunit,
.\vcpkg\ports\darts-clone\CMakeLists.txt,darts,
.\vcpkg\ports\devicenameresolver\CMakeLists.txt,DeviceNameResolver,
